name,zone,category,tenderdate,type,use,tenure,landsize,gfa,top,glslink,notes,dev,landprice,projectname,psf_gfa
Woodleigh Close,,,24/6/2008,Residential (Non-Landed),Residential,99,"115,966.50","324,707",,,,Frasers Centrepoint Limited,"$87,680,000.00",,"$2,906.49"
Choa Chu Kang Drive,,,26/5/2008,Residential (Non-Landed),Residential,99,"204,509.30","572,626",,,,Tian Hock Properties Pte Ltd,"$116,010,000.00",,"$2,180.64"
Scotts Road / Anthony Road,,,30/4/2008,Transitional Office,Transitional Office,15,"97,281.90","145,923",,,,Sun Venture (S) Investments Pte. Ltd.,"$32,988,888.00",,"$2,433.35"
Scotts Road / Anthony Road,,,24/4/2008,Transitional Office,Transitional Office,15,"93,458.60","140,186",,,,UOB Kay Hian Trading Pte Ltd,"$34,000,000.00",,"$2,610.57"
Ubi Avenue 4 / Ubi Road 2,,,28/3/2008,Industrial,Business 1,60,"134,652.20",#VALUE!,,,,3 Link Development Pte Ltd,"$23,900,000.00",,$955.24
West Coast Crescent,,,19/3/2008,Residential (Non-Landed),Residential,99,"129,163.80","361,659",,,,Billion Rise Limited,"$110,440,000.00",,"$3,286.90"
Novena Terrace / Irrawaddy Road,,,15/2/2008,Hospital,Hospital,99,"185,416.80","778,750",,,,Parkway Novena Pte. Ltd. & Parkway Irrawaddy Pte. Ltd.,"$1,246,200,389.00",,"$17,224.61"
Playfair Road,,,14/2/2008,Industrial,Business 1,60,"92,867.70",#VALUE!,,,,Trio Link Development Pte. Ltd.,"$33,000,000.00",,"$1,529.92"
Mountbatten Road,,,9/1/2008,Transitional Office,Transitional Office,15,"227,776.00","215,273",,,,Mezzo Properties Pte Ltd,"$14,890,000.00",,$744.50
Simei Street 4,,,4/1/2008,Residential (Non-Landed),Residential,99,"346,702.50","797,414",,,,UOL Group Limited & Peak Century Pte. Ltd.,"$236,050,000.00",,"$3,186.25"
Alexandra Road / Alexandra View,,,27/12/2007,Residential (Non-Landed),Residential,99,"92,125.00","451,417",,,,Winglow Investment Pte.Ltd. & Greatearth Developments Pte Ltd,"$288,380,000.00",,"$6,876.18"
Boon Lay Way / Lakeside Drive,,,12/12/2007,Residential (Non-Landed),Residential,99,"236,810.00","828,833",,,,Frasers Centrepoint Limited,"$205,560,000.00",,"$2,669.51"
Enggor Street,,,15/11/2007,Residential with Commercial at 1st Sty,Residential with Commercial at 1st storey,99,"30,010.10","252,085",,,,Allgreen Properties Limited,"$180,800,000.00",,"$7,719.90"
Marina View / Park Street,,,13/11/2007,White Site,White Site (Commercial / Hotel / Residential) ,99,"94,028.00","1,222,535",,,,MGP Kimi Pte. Limited,"$952,888,888.00",,"$8,389.58"
Tampines Concourse / Tampines Avenue 5,,,6/11/2007,Transitional Office,Transitional Office,15,"124,006.90","123,997",,,,Glades Properties Pte Ltd,"$10,000,000.00",,$868.06
Enggor Street,,,1/11/2007,Residential with Commercial at 1st Sty,Residential with Commercial at 1st storey,99,"32,680.60","274,516",,,,Bishan Properties Pte Ltd,"$233,800,000.00",,"$9,167.19"
New Market Road / Merchant Road,,,25/10/2007,Hotel,Hotel,99,"37,761.00","132,156",,,,Park Regis Investments Pte. Ltd.,"$100,700,000.00",,"$8,201.66"
Sin Ming Lane,,,24/10/2007,Industrial,Business 1,60,"552,387.20",#VALUE!,,,,MV Land Pte. Ltd.,"$68,888,000.00",,$536.93
Upper Pickering Street,,,10/10/2007,Hotel,Hotel,99,"74,903.20","314,589",,,,Hotel Plaza Limited,"$253,200,000.00",,"$8,663.22"
Simon Road,,,2/10/2007,Residential (Non-Landed),Condominium or Flats (Serviced apartments will be allowed),99,"189,807.30","664,322",,,,Duke Development Pte Ltd,"$290,018,888.00",,"$4,699.02"
Race Course Road / Rangoon Road,,,27/9/2007,White Site,White Site (Hotel / Commercial / Residential / Hospital use) with at least 40% of the max perm GFA for hotel use,99,"146,654.70","615,950",,,,Singapore Healthpartners Pte Ltd,"$265,265,000.00",,"$4,635.47"
Marina View / Commerce Street,,,19/9/2007,White Site,White Site (Commercial / Hotel / Residential) ,99,"110,202.50","1,432,857",,,,MGP Berth Pte. Limited,"$2,018,888,988.00",,"$15,165.93"
Anson Road,,,28/8/2007,Commercial,Commercial,99,"27,280.50","252,063",,,,Firstoffice Pte. Ltd.,"$237,204,839.00",,"$10,129.17"
Kaki Bukit Road 3,,,23/8/2007,Industrial,Business 1,30,"131,913.90",#VALUE!,,,,Eastpoint Development Pte Ltd,"$5,688,000.00",,$773.53
Scotts Road,,,22/8/2007,Transitional Office,Transitional Office,15,"112,418.80","168,623",,,,Scotts Spazio Pte Ltd,"$37,000,098.00",,"$2,361.81"
Beach Road,,,25/7/2007,Commercial,"Commercial with min. components for hotel and office uses and conservation and restoration of Blocks 1,9,14 for adaptive re-use",99,"376,286.40","1,580,394",,,,"Scottsdale Properties Pte. Ltd., Istithmar Beach Road FZE and Elad Group Singapore Pte. Ltd.","$1,688,888,000.00",,"$11,502.57"
Anson Road / Enggor Street,,,23/7/2007,Commercial,Commercial,99,"39,731.90","383,799",,,,St James Power Station Pte Ltd,"$391,930,000.00",,"$10,991.67"
Woodsville Close,,,17/7/2007,Residential (Non-Landed),Residential,99,"41,660.70","116,646",,,,Frasers Centrepoint Limited,"$50,680,000.00",,"$4,676.57"
Tanjong Pagar Road / Tras Street,,,3/7/2007,Hotel,Hotel,99,"30,843.20","172,724",,,,Chng Gim Huat,"$97,070,000.00",,"$6,049.11"
Fairy Point Hill,,,20/6/2007,Recreation,"Recreation Club, Hotel or Holiday Chalet",45,"449,883.90","179,333",,,,HG Poperties Pte Ltd,"$25,500,000.00",,"$1,530.52"
Tanjong Pagar Road / Gopeng Street,,,28/5/2007,Hotel,Hotel,99,"25,542.10","214,552",,,,Carlton Properties (Singapore) Pte. Ltd.,"$123,000,000.00",,"$6,170.67"
Belilios Road / Klang Lane,,,22/5/2007,White Site,White Site (Commercial / Hotel / Residential) and Car Park Station,99,"33,224.20","116,280",,,,Hotel Grand Central Ltd,"$48,888,888.00",,"$4,525.49"
Tampines Street 92 / Simei Avenue,,,10/4/2007,Industrial,Business 2,30,"214,874.70",#VALUE!,,,,Storhub Self Storage Pte Ltd,"$8,688,000.00",,$310.86
Handy Road,,,28/3/2007,Residential (Non-Landed),Residential or Residential with Commercial at 1st Storey only,99,"38,597.40","108,078",,,,Allgreen Properties Limited,"$72,300,000.00",,"$7,200.48"
New Bridge Road / North Canal Road,,,14/2/2007,Commercial,Commercial,99,"13,813.00","58,016",,,,Kim Eng Properties Pte Ltd,"$43,999,999.99",,"$8,163.27"
Tuas Bay Drive / Tuas South Avenue 3,,,31/1/2007,Industrial,Business 2,60,"395,219.70",#VALUE!,,,,PTC Express Pte. Ltd.,"$9,090,000.00",,$247.56
Woodlands Industrial Park E5,,,23/1/2007,Industrial,Business 2,30,"181,088.70",#VALUE!,,,,Oon Koon Cheng,"$5,120,000.00",,$304.33
Sinaran Drive,,,16/1/2007,Hotel,Hotel,99,"62,308.60","261,697",,,,Glory Realty Co. Private Ltd.,"$131,118,000.00",,"$5,392.92"
Bencoolen Street,,,30/11/2006,Hotel,Hotel,99,"38,500.50","161,702",,,,Lasalle Lao Singapore Pte. Ltd.,"$73,000,000.00",,"$4,859.22"
Mohamed Sultan Road,,,21/11/2006,Hotel,Hotel,99,"31,560.10","88,370",,,,Republic Hotels & Resorts Limited,"$45,800,000.00",,"$5,578.56"
Collyer Quay,,,17/10/2006,Commercial,Commercial / Hotel,60,"287,430.30","107,636",,,,Precious Treasure Pte. Ltd.,"$165,800,000.00",,"$16,580.00"
Clemenceau Avenue / Unity Street,,,22/8/2006,Hotel,Hotel,99,"42,502.40","119,003",,,,Parksing Property Pte. Limited,"$55,500,000.00",,"$5,019.90"
Orchard Road / Somerset Road,,,16/8/2006,Commercial,Commercial,99,"78,697.30","424,195",,,,Lend Lease Retail Investments 1 Pte. Ltd.,"$617,200,000.00",,"$15,661.00"
Sinaran Drive,,,18/7/2006,Residential (Non-Landed),Residential,99,"134,205.50","469,715",,,,Frasers Centrepoint Limited,"$238,000,000.00",,"$5,453.84"
Woodlands Industrial Park E2 / E9,,,20/6/2006,Industrial,Business 2,60,"167,030.30",#VALUE!,,,,Evan Lim & Co. Pte Ltd,"$5,850,000.00",,$376.98
Bedok North Avenue 4,,,16/5/2006,Industrial,Business 2,30,"106,367.50",#VALUE!,,,,Richland Group Limited,"$5,118,000.00",,$258.95
Tuas South Avenue 2 / Tuas South Avenue 3,,,18/4/2006,Industrial,Business 2,60,"387,491.40",#VALUE!,,,,Yee Lee Construction Pte Ltd,"$5,800,000.00",,$161.11
Tanah Merah Kechil Avenue,,,11/4/2006,Residential (Non-Landed),Condominium or Flats,99,"235,474.20","659,327",,,,ChoiceHomes Investments Pte Ltd & Wincharm Investment Pte. Ltd.,"$210,000,000.00",,"$3,428.29"
Orchard Road / Killiney Road,,,18/1/2006,Commercial,Commercial development with an underground shopping mall (incorporating a pedestrian walkway) under Orchard Road,99,"71,557.80","387,976",,,,Orchard City Pte. Ltd.,"$421,100,000.00",,"$11,682.62"
Woodlands Industrial Park E4/E5,,,15/12/2005,Driving Centre,Multi-Storey Driving Centre,30,"269,091.20","672,728",,,,Singapore Safety Driving Centre Ltd,"$6,666,666.00",,$106.67
Orchard Road / Paterson Road,,,8/12/2005,Commercial,Commercial development with an underground shopping mall (incorporating a pedestrian walkway) under Paterson Road,99,"200,738.80","1,353,270",,,,Capitaland Retail Singapore Investments Pte Ltd & Gresward Pte Ltd,"$1,380,000,000.00",,"$10,976.25"
Alexandra Road / Tiong Bahru Road,,,16/11/2005,Residential (Non-Landed),Residential,99,"104,859.50","513,811.40",,,,CRL Realty Pte Ltd  and Lippo Group International Pte Limited,"$179,988,000.00",,"$3,770.50"
Woodlands Avenue 4 / Woodlands Industrial Park E5,,,26/10/2005,Industrial,Business 2,60,"113,552.20",#VALUE!,,,,Northern Capital Properties Pte Ltd,"$4,080,000.00",,$386.74
Alexandra Road / Leng Kee Road,,,6/9/2005,Industrial,Business 1,30,"54,147.60",#VALUE!,,,,Wintech Land Pte Ltd,"$6,688,000.00",,$531.79
Marina Boulevard / Central Boulevard,,,7/7/2005,White Site,"Development of a business and financial centre, with at least 60% of the maximum permissible GFA to be used for office. The remaining GFA may be used for complementary uses such as hotel, residential, recreation/entertainment.",99,"382,273.10","4,714,478",,,,"Bayfront Development Pte Ltd, Choicewide Group Limited and Sageland Pte Ltd","$1,908,315,094.77",,
Victoria Street,,,10/5/2005,Entertainment,Integrated commercial development for entertainment uses,60,"96,003.10","288,014",,,,Jack Investment Pte Ltd,"$46,000,000.00",,
North Bridge Road / Bras Basah Road,,,19/1/2005,Hotel,Hotel,99,"35,648.10","185,372",,,,Carlton Properties (Singapore) Pte Ltd,"$55,600,000.00",,
Lower Delta Road,,,16/12/2004,Industrial,Business 1,60,"116,253.90",#VALUE!,,,,Sim Lian Development Pte Ltd,"$18,900,000.00",,
Handy Road,,,18/11/2004,Residential with Commercial at 1st Sty,Residential or Residential with Commercial at 1st Storey only,99,"12,716.20","35,606",,,,Lam Kong Yin Patrick,"$12,300,000.00",,
Woodlands E3,,,8/6/2004,EC,Residential,99,"17,914.90","539,923.13",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Woodlands%20E3,Woodlands Dr 16 / Woodlands Dr 53,Tanglin View Pte Ltd,80900000,La Casa,
Flower Road / Kovan Road,,,20/10/2003,Residential (Non-Landed),Condominium; Flats; or Serviced Apartments,99,"272,024.30","952,088",,,,"Winwill Investment Pte Ltd, NTUC Choice Homes Co-operative Ltd, Greatearth Developments Pte Ltd","$255,000,000.00",,
Jellicoe Road,,,2/10/2003,Residential (Non-Landed),Condominium,99,"157,097.60","659,812",,,,Woodsvale Land Pte Ltd,"$161,500,000.00",,
Boon Lay Way,,,8/9/2003,Industrial,Light Industry,60,"778,506.70",#VALUE!,,,,Midview Realty Pte Ltd,"$31,180,000.00",,
Choa Chu Kang E3,,,22/10/2002,EC,Residential,99,"20,954.60",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Choa%20Chu%20Kang%20E3,Choa Chu Kang Street 64,Centrepoint Properties Ltd,108300000,The Quintet,
Mount Faber Road,,,3/9/2002,Residential (Non-Landed),Condominium or Flats and/or Serviced Apartments,99,"113,665.20","238,695",,,,Sim Lian Land Pte Ltd,"$68,100,000.00",,
Boon Lay Way / Jurong West Street 51,,,22/8/2002,Residential (Non-Landed),Condominium / Flats / Serviced Apartments,99,"290,618.50","1,017,165",,,,Tanglin View Pte Ltd,"$200,018,000.00",,
Sinaran Drive,,,23/5/2002,White Site,White Site (Commercial / Hotel / Residential / Civic and Community Institution),99,"84,199.70","353,640",,,,Glory Realty Co Pte Ltd,"$100,800,000.00",,
Lengkong Empat,,,8/5/2002,Residential (Non-Landed),Apartment,99,"31,601.00","66,358",,,,Tanglin View Pte Ltd,"$11,120,000.00",,
Marina Boulevard,,,8/5/2002,White Site,White Site (Commercial / Hotel / Residential),99,"97,851.30","1,272,070",,,,Glengary Pte Ltd,"$288,900,000.00",,
Pasir Ris E4,,,23/4/2002,EC,Residential,99,"17,229.40",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Pasir%20Ris%20E4,Pasir Ris Street 72,Tanglin View Pte Ltd,72080000,Whitewater,
Fullerton Road / Esplanade Drive,,,2/4/2002,Commercial,Commercial,30,"11,707.60","24,218",,,,Vasilon Pte Ltd ,"$9,280,000.00",,
Gopeng Street,,,30/10/2001,Residential with Commercial at 1st Sty,Residential with option for Commercial on first storey only,99,"70,680.60","593,712",,,,Kentish Court Pte Ltd,"$125,280,000.00",,
Pasir Ris E6,,,18/10/2001,EC,Residential,99,"13,982.10",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Pasir%20Ris%20E6,Pasir Ris Drive 4,City Developments Ltd,50800000,The Esparis,
Boon Lay Way / Corporation Road,,,25/7/2001,Residential (Non-Landed),Condominium / Apartment,99,"182,982.00","548,946",,,,Centrepoint Properties Ltd,"$106,000,889.00",,
Marine Parade Road,,,25/4/2001,Residential (Non-Landed),Condominium or Flats and/or Serviced Apartments,99,"265,451.00","743,262",,,,Centrepoint Properties Ltd,"$208,120,338.00",,
Raffles Quay / Marina Boulevard,,,13/3/2001,White Site,White Site (Commercial / Hotel / Residential) Underground Pedestrian Mall with activity-generating uses.,99,"122,349.30","1,590,544",,,,"Boulevard Development Pte Ltd, Comina Investment Limited & Freyland Pte Ltd","$461,816,800.00",,
Joo Chiat Place / Everitt Road,,,14/2/2001,Residential (Non-Landed),Condominium / Apartment / Mixed Landed Housing,99,"89,949.70","125,935",,,,Hoi Hup Realty Pte Ltd & Jihe Development Pte Ltd,"$20,233,000.00",,
Mount Sinai Drive,,,14/2/2001,Residential (Non-Landed),Condominium / Apartment,99,"69,239.30","145,406",,,,Winbliss Investment Pte Ltd,"$39,118,000.00",,
Tuas Bay Drive ,,,16/1/2001,Industrial,General Industry,60,"838,910.20","2,097,275",,,,Syscon Pte Ltd,"$22,022,020.00",,
Ang Mo Kio E2,,,4/1/2001,EC,Residential,99,"14,488.90",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Ang%20Mo%20Kio%20E2,Ang Mo Kio Ave 6 / Ave 9,City Developments Ltd,70000000,Nuovo,
Kim Keat Road,,,25/10/2000,Residential (Non-Landed),Apartment,99,"12,530.00","35,079",,,,C.G.H. Development Pte Ltd,"$6,010,000.00",,
Lorong 27A Geylang,,,25/10/2000,Residential (Non-Landed),Apartment,99,"50,668.80","141,876",,,,Hoi Hup JV Development Pte Ltd,"$24,680,000.00",,
Bukit Batok E1,,,24/8/2000,EC,Residential,99,"11,279.10",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Bukit%20Batok%20E1,Bukit Batok St.21,Sim Lian Construction Co. (Pte) Ltd,50598000,The Dew,
Bishan E2,,,24/8/2000,EC,Residential,99,"17,985.30",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Bishan%20E2,Bishan St.11,NTUC Choice Homes Co- operative Ltd & Chip Eng Leong Enterprise Pte Ltd,114888889,Bishan Loft,
Lorong 27 Geylang,,,28/6/2000,Residential (Non-Landed),Apartment,99,"51,830.20","145,126",,,,Evan Lim & Co Pte Ltd,"$26,888,000.00",,
Upper Serangoon Road,,,28/6/2000,Residential (Non-Landed),Condominium,99,"202,827.00","567,912",,,,DBS Realty Pte Ltd,"$162,500,000.00",,
Admiralty Road West / Sembawang Drive,,,15/6/2000,Industrial,Light Industry,60,"677,705.20","1,694,263",,,,Arcasia Land Pte Ltd,"$42,800,000.00",,
Tuas South Avenue 3 / Tua South Avenue 4,,,15/6/2000,Industrial,General Industry,60,"527,418.80","1,318,547",,,,Seatown Construction Pte Ltd,"$23,500,000.00",,
Tampines E6,,,25/5/2000,EC,Residential,99,"23,497.30",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Tampines%20E6,Tampines Street 34,"United Overseas Land Ltd, Parvillion Pte Ltd & Low Keng Huat (Singapore) Ltd",93000000,The Eden,
Yishun E4,,,25/5/2000,EC,Residential,99,"14,400.00",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Yishun%20E4,Yishun Avenue 6,Centrepoint Properties Ltd,60100000,Lilydale,
Bukit Batok East Avenue 2,,,1/3/2000,Residential (Non-Landed),Condominium,99,"244,742.80","685,278",,,,Marina Green Ltd,"$163,109,000.00",,
Jalan Pari Dedap,,,1/3/2000,Residential (Non-Landed),Condominium,99,"138,746.70","346,869",,,,DBS Realty (Pte) Ltd,"$91,228,999.00",,
Rosewood Drive / Woodlands Avenue 1,,,1/3/2000,Residential (Non-Landed),Condominium,99,"266,963.20","560,625",,,,Centrepoint Properties Ltd,"$126,800,000.00",,
Site Above Clarke Quay MRT Station,,,2/2/2000,White Site,White Site (Commercial and/or hotel and/or Residential (Serviced Apartment are allowed),99,"164,708.60","835,015.45",,,,Arts Associate Company Pte Ltd,"$340,800,000.00",,
Tuas South Avenue 2 / Tuas South Avenue 5,,,15/12/1999,Industrial,General Industry,60,"838,904.80","2,097,262.50",,,,CSC Holdings Ltd,"$30,000,000.00",,
Rivervale Crescent,,,22/7/1999,Others,Civic and Community Institution,30,"29,061.90","40,687",,,,Chong Hua Tong Tou Teck Hwee,"$2,848,800.00",,
Admiralty Road West,,,9/6/1999,Industrial,Light Industry,60,"695,085.20","1,737,713.04",,,,Sim Lian Holdings Pte Ltd and Yee Hong Pte Ltd,"$38,238,238.00",,
Choa Chu Kang Chinese Cemetery Path 10 at Choa Chu Kang Road,,,22/4/1999,Others,Christian / Catholic Columbarium,30,"107,636.50","107,636",,,,The Secretary of The Trustees of The Methodist Church in Singapore,"$7,000,000.00",,
Choa Chu Kang Chinese Cemetery Path 2 at Choa Chu Kang Road,,,22/4/1999,Others,Buddhist / Taoist Columbarium,30,"107,636.50","107,636",,,,Leong Hwa Chan Si Temple,"$6,977,700.00",,
Tuas South Avenue 1 / Tuas South Avenue 2,,,2/9/1998,Industrial,General Industry,60,"562,615.90","1,406,540",,,,CSC Holdings Ltd,"$17,007,738.05",,
Ubi Avenue 3 / Ubi Road 3,,,2/9/1998,Industrial,Light Industry,60,"560,692.50","1,121,384.90",,,,Arcasia Land Pte Ltd,"$30,770,000.00",,
Sungei Tengah Road,,,17/12/1997,Others,Farm Produce Centre with market stalls and supporting facilities b) Floral nursery and supporting facilities,20,"251,709.00","12,583",,,,UBTS Pte Ltd,"$385,000.00",,
Hougang Street 11,,,3/12/1997,Residential (Non-Landed),Condominium,99,"49,229.81","137,843.48",,,,Erishi Holdings Pte Ltd,"$23,580,000.00",,
Syed Alwi Road,,,19/11/1997,Commercial,Commercial,99,"7,359.10","22,076",,,,Mustafa's Pte Ltd,"$14,350,000.00",,
Victoria Street,,,30/9/1997,Hotel,Hotel,99,"20,308.90","105,613",,,,Carlton Hotel (S) Pte Ltd,"$31,200,000.00",,
Beatty Road,,,10/9/1997,Residential (Non-Landed),Condominium,99,"183,116.60","640,911",,,,Allgreen Properties Ltd & Hoe Seng Company (Pte) Ltd,"$161,880,000.00",,
Jalan Mata Ayer,,,10/9/1997,Residential (Non-Landed),Condominium / Mixed Landed housing,99,"283,983.80","397,577",,,,Centrepoint Properties Ltd,"$64,910,000.00",,
Lorong Ong Lye,,,10/9/1997,Residential (Non-Landed),Condominium / Mixed Landed housing,99,"89,858.20","125,806",,,,Tacwealth Investments Pte Ltd,"$20,247,180.00",,
Tanah Merah Kechil Road,,,10/9/1997,Residential (Non-Landed),Condominium,99,"106,204.90","297,378",,,,Orchard Terminal Pte Ltd,"$83,628,000.00",,
Tanah Merah Kechil Road,,,10/9/1997,Residential (Non-Landed),Condominium,99,"134,405.70","376,340",,,,Orchard Terminal Pte Ltd,"$105,838,000.00",,
Tanjong Rhu Road,,,10/9/1997,Residential (Non-Landed),Condominium,99,"225,174.50","630,491",,,,Orchard Terminal Pte Ltd,"$174,148,000.00",,
Fullerton Road,,,20/8/1997,Hotel,Hotel,99,"202,001.40","541,196",,,,Vasilon Pte Ltd & Orchard Parade Land Pte Ltd,"$110,000,008.00",,
Hougang E1,,,14/8/1997,EC,Residential,99,"22,366.00",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Hougang%20E1,Hougang Avenue 7,City Developments Ltd,143800000,The Florida,
Jurong West E2,,,14/8/1997,EC,Residential,99,"36,925.30",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Jurong%20West%20E2,Jurong West Street 81,Pidemco Land Ltd,173900000,The Floravale,
Woodlands E2,,,14/8/1997,EC,Residential,99,"33,000.00",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Woodlands%20E2,Woodlands Avenue 7,Hong Leong Holdings Ltd,180000000,Northoaks,
Old Toh Tuck Road / Pan Island Expressway,,,6/8/1997,Industrial,Clean and Light Industry,60,"2,047,299.80","3,650,039",,,,Soon Lee Properties Pte Ltd,"$147,999,988.00",,
Tuas South Avenue 3 / Tuas South Avenue 5,,,6/8/1997,Industrial,General Industry,60,"539,592.50","755,429.50",,,,Sim Lian Holdings Pte Ltd & Yee Hong Pte Ltd,"$28,238,870.00",,
Chun Tin Road,,,11/6/1997,Residential (Non-Landed),Condominium / Mixed Landed Housing,99,"67,834.70","94,968",,,,Far East Organization Centre Pte Ltd,"$27,359,000.00",,
Draycott Drive,,,11/6/1997,Residential (Non-Landed),Condominium (with option to conserve existing bungalow),99,"152,914.90","321,123",,,,Grandwin Investment Pte Ltd,"$354,398,000.00",,
Haig Road / Dunman Road,,,11/6/1997,Residential (Non-Landed),Condominium,99,"71,553.50","200,355",,,,Far East Organization Centre Pte Ltd,"$67,729,000.00",,
Newton Road / Lincoln Road,,,11/6/1997,Residential (Non-Landed),Condominium,99,"134,237.80","375,867",,,,Winfar Investment Pte Ltd,"$230,000,000.00",,
Jurong West E1,,,22/5/1997,EC,Residential,99,"21,000.00",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Jurong%20West%20E1,Boon Lay Way,"Lum Chang Building Construction Pte Ltd, L C Development Ltd, Waterbank Properties (S) Pte Ltd & Comfort Group Ltd",139000000,Summerdale,
Woodlands E1,,,22/5/1997,EC,Residential,99,"34,000.00",0,,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Woodlands%20E1,Woodlands Avenue 7,Pidemco Land Ltd,196888000,Woodsvale,
South Bridge Road / Pickering Street,,,14/5/1997,White Site,White Site (permitted uses are Commercial and/or Residential and/or Hotel and/or Medical Centre (Excluding Hospital & Sanatorium),99,"145,891.60","433,775",,,,Merevale Holdings Pte Ltd & The Great Eastern Life Assurance Co Ltd,"$340,050,000.00",,
Lorong 39 Geylang,,,9/4/1997,Residential (Non-Landed),Apartment,99,"61,026.44","173,316",,,,LKN Development Pet Ltd,"$44,720,000.00",,
Mugliston Park,,,9/4/1997,Residential (Non-Landed),Condominium / Mixed Landed Housing,99,"234,663.70","328,528",,,,MCL Land Ltd,"$61,768,000.00",,
Mugliston Park,,,9/4/1997,Residential (Non-Landed),Condominium / Mixed Landed Housing,99,"151,560.80","212,184",,,,MCL Land Ltd,"$40,318,000.00",,
Rochor Road / Ophir Road,,,12/3/1997,Commercial,Commercial,99,"70,233.67","421,402.01",,,,Hwang Chou-Shiuan,"$236,810,000.00",,
Thomson Road / Moulmein Road,,,12/3/1997,Commercial,Commercial,99,"179,419.30","753,560.90",,,,"United Overseas Land Ltd, United Oveseas Bank Ltd & Singapore Land Ltd","$508,000,000.00",,
Bedok Reservoir Road,,,6/3/1997,Residential (Non-Landed),Condominium,99,"295,409.20","620,359.34",,,,Pidemco Land Ltd,"$161,300,000.00",,
Bishan Street 21,,,6/3/1997,Residential (Non-Landed),Condominium,99,"137,017.00","287,735.79",,,,Victory Realty Co. Pte Ltd,"$116,010,000.00",,
Geylang East Avenue 1,,,6/3/1997,Residential (Non-Landed),Condominium,99,"119,269.40","357,808.22",,,,Victory Realty Company Pte Ltd & Zircon Land Pte Ltd,"$92,080,000.00",,
Ubi Avenue 1,,,18/2/1997,Industrial,Clean and Light Industry,60,"642,198.00",#VALUE!,,,,Malayan Credit Ltd / Magnetite Pte Ltd,"$113,190,000.00",,
Ubi Avenue 1,,,18/2/1997,Industrial,Clean and Light Industry,60,"642,198.00",#VALUE!,,,,Rutile Pte Ltd,"$101,149,000.00",,
Craig Road ,,,29/1/1997,Residential with Commercial at 1st Sty,Residential with commercial at 1st storey only and car park station,99,"26,948.90","56,595",,,,Guthrie M & E Consultancy (S) Pte Ltd / Asia Life Assurance Society Ltd,"$25,100,000.00",,
Bayshore Road / East Coast Parkway,,,8/1/1997,Residential (Non-Landed),Condominium,99,"427,335.10","1,495,674",,,,Japura Pte. Ltd.,"$682,800,000.00",,
Anson Road / Bernam Street,,,20/11/1996,Commercial,Commercial,99,"17,024.22","95,334",,,,Cosmopolitan Development Pte Ltd,"$53,381,180.00",,
Middle Road / Bencoolen Street,,,20/11/1996,Commercial and Residential,Commercial & Residential or Hotel,99,"67,628.00","284,042",,,,City Developments Ltd & Hyundai Engineering & Construction Co Ltd,"$103,800,000.00",,
Robinson Road,,,20/11/1996,Commercial,Commercial,99,"8,645.40","96,830",,,,First Capital Corporation Ltd,"$87,324,600.00",,
Tanjong Rhu Road,,,13/11/1996,Residential (Non-Landed),Condominium,99,"253,871.40","710,842",,,,First Capital Corporation Ltd,"$203,751,000.00",,
Bukit Batok East Avenue 3 / Bukit Batok Street 23,,,23/10/1996,Industrial,Clean and Light Industry,60,"1,653,322.30",#VALUE!,,,,Sin Soon Lee Realty Co Pte Ltd,"$238,889,990.00",,
Ubi Avenue 1,,,23/10/1996,Industrial,Clean and Light Industry,60,"582,593.20",#VALUE!,,,,"Bousteadco (S) Ltd, Goldman Financial Ltd & International Factors Leasing Pte Ltd","$120,000,888.98",,
Ubi Avenue 1,,,23/10/1996,Industrial,Clean and Light Industry,60,"582,593.20",#VALUE!,,,,Chng Gim Huat & Chng Heng Tiu,"$113,800,000.00",,
Pulau Ubin,,,9/10/1996,Recreation,Holiday Accommodation,15,"278,057.30","55,616",,,,Powerland Holdings Ltd,"$3,288,000.00",,
Pulau Ubin,,,9/10/1996,Recreation,Outdoor Activity Centre and Holiday Accommodation,15,"502,807.70","75,421",,,,Fort Canning Country Club Investment Ltd & Alliance Technology & Devt Ltd,"$5,100,000.00",,
South Bridge Road / Cross Street,,,9/10/1996,White Site,Commercial or Commercial & Residential or Hotel,99,"150,494.10","522,575",,,,Merevale Holdings Pte Ltd,"$308,000,100.00",,
